epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,1243.81,0.91598,0.62412,2.16905,0.94074,0.85437,0.92657,0.67154,1.96695,1.09573,2.59705,0.0003566,0.0003566,0.0003566
85,1258.47,0.94335,0.63785,2.19279,0.92705,0.86372,0.93579,0.70787,1.86454,1.01853,2.55749,0.0003368,0.0003368,0.0003368
86,1273.64,0.92755,0.61826,2.18158,0.89643,0.87379,0.92106,0.70024,1.84122,1.0837,2.55531,0.000317,0.000317,0.000317
87,1288.24,0.8807,0.61883,2.17138,0.97163,0.83119,0.92569,0.67921,1.96986,1.092,2.58475,0.0002972,0.0002972,0.0002972
88,1302.69,0.90825,0.60278,2.16051,0.95704,0.85922,0.92755,0.69582,1.92785,1.05701,2.58745,0.0002774,0.0002774,0.0002774
89,1317.22,0.81566,0.55271,2.13842,0.95207,0.86781,0.92212,0.69111,1.82582,1.08056,2.48597,0.0002576,0.0002576,0.0002576
90,1332.12,0.85474,0.58747,2.16388,0.95182,0.87379,0.92498,0.7115,1.74378,1.05788,2.49505,0.0002378,0.0002378,0.0002378
91,1348.42,0.9572,0.6643,2.30024,0.94561,0.85437,0.92648,0.7122,1.71257,1.00459,2.50848,0.000218,0.000218,0.000218
92,1363.62,0.90404,0.54137,2.24989,0.9553,0.86893,0.92221,0.7106,1.76077,1.03718,2.55352,0.0001982,0.0001982,0.0001982
93,1377.85,0.90955,0.52564,2.23431,0.94853,0.89453,0.9269,0.70826,1.82014,1.06048,2.60561,0.0001784,0.0001784,0.0001784
94,1391.92,0.89109,0.51019,2.25214,0.95748,0.8745,0.92811,0.7132,1.77343,1.04067,2.56599,0.0001586,0.0001586,0.0001586
95,1406.02,0.87718,0.49036,2.24884,0.95302,0.88628,0.92864,0.72127,1.71885,1.04423,2.53066,0.0001388,0.0001388,0.0001388
96,1420.12,0.8908,0.47196,2.21443,0.95616,0.86408,0.9245,0.72061,1.72527,1.03659,2.54673,0.000119,0.000119,0.000119
97,1434.25,0.87014,0.47928,2.23838,0.95185,0.86893,0.92418,0.71534,1.76024,1.03096,2.58769,9.92e-05,9.92e-05,9.92e-05
98,1448.22,0.8751,0.46306,2.24342,0.96112,0.86893,0.92827,0.71877,1.72546,1.02326,2.56549,7.94e-05,7.94e-05,7.94e-05
99,1462.26,0.85537,0.4615,2.23949,0.94216,0.86978,0.92847,0.72168,1.71367,1.01253,2.53764,5.96e-05,5.96e-05,5.96e-05
100,1476.46,0.87931,0.46551,2.19718,0.92358,0.8835,0.9229,0.72295,1.6993,1.01542,2.5262,3.98e-05,3.98e-05,3.98e-05
